iter	Passed	Remaining
399	72297	650675
400	72495	650650
401	72674	650457
402	72867	650379
403	73036	650093
404	73214	649893
405	73401	649763
406	73589	649651
407	73772	649489
408	73956	649334
409	74133	649120
410	74333	649104
411	74507	648867
412	74680	648614
413	74859	648419
414	75051	648332
415	75224	648088
416	75409	647946
417	75609	647922
418	75789	647735
419	75996	647777
420	76195	647748
421	76365	647480
422	76532	647181
423	76701	646900
424	76885	646746
425	77076	646647
426	77265	646534
427	77440	646300
428	77637	646255
429	77808	645990
430	77985	645774
431	78163	645569
432	78323	645222
433	78518	645156
434	78720	645149
435	78921	645127
436	79109	645002
437	79287	644796
438	79471	644645
439	79650	644445
440	79814	644129
441	79981	643829
442	80165	643678
443	80353	643548
444	80539	643410
445	80715	643187
446	80905	643080
447	81092	642944
448	81288	642882
449	81475	642749
450	81660	642601
451	81848	642472
452	82029	642292
453	82211	642121
454	82407	642053
455	82593	641910
456	82772	641715
457	82958	641568
458	83145	641437
459	83333	641303
460	83502	641028
461	83668	640733
462	83851	640565
463	84059	640594
464	84262	640572
465	84451	640452
466	84638	640314
467	84838	640277
468	85028	640160
469	85205	639949
470	85393	639815
471	85574	639632
472	85753	639436
473	85941	639301
474	86136	639224
475	86313	639008
476	86504	638897
477	86683	638702
478	86882	638648
479	87080	638593
480	87268	638453
481	87458	638338
482	87656	638280
483	87830	638044
484	88031	638002
485	88245	638051
486	88443	637991
487	88623	637801
488	88816	637699
489	89005	637570
490	89204	637513
491	89388	637347
492	89590	637308
493	89773	637138
494	89970	637063
495	90153	636891
496	90351	636821
497	90531	636626
498	90736	636607
499	90925	636478
500	91121	636397
501	91320	636334
502	91528	636328
503	91736	636329
504	91948	636357
505	92152	636323
506	92373	636410
507	92586	636438
508	92786	636379
509	92997	636396
510	93228	636541
511	93431	636502
512	93628	636421
513	93831	636377
514	94040	636371
515	94232	636249
516	94438	636227
517	94631	636111
518	94841	636111
519	95030	635971
520	95239	635964
521	95454	635994
522	95656	635940
523	95856	635870
524	96052	635778
525	96264	635784
526	96467	635732
527	96662	635631
528	96854	635503
529	97045	635374
530	97234	635229
531	97441	635201
532	97641	635128
533	97850	635110
534	98067	635149
535	98280	635156
536	98486	635118
537	98702	635146
538	98909	635112
539	99112	635055
540	99313	634981
541	99514	634912
542	99729	634927
543	99920	634788
544	100130	634770
545	100330	634692
546	100530	634611
547	100721	634472
548	100931	634453
549	101120	634300
550	101334	634307
551	101524	634158
552	101706	633963
553	101899	633838
554	102113	633836
555	102317	633778
556	102498	633574
557	102715	633597
558	102903	633435
559	103113	633411
560	103291	633188
561	103485	633068
562	103686	632986
563	103885	632892
564	104098	632881
565	104304	632828
566	104513	632797
567	104725	632777
568	104932	632732
569	105119	632559
570	105320	632474
571	105519	632379
572	105743	632428
573	105959	632432
574	106168	632397
575	106391	632439
576	106595	632365
577	106788	632234
578	106999	632205
579	107189	632047
580	107393	631976
581	107587	631843
582	107784	631729
583	108002	631742
584	108193	631593
585	108393	631494
586	108602	631450
587	108818	631441
588	109012	631307
589	109219	631253
590	109425	631184
591	109616	631034
592	109812	630912
593	110020	630855
594	110217	630738
595	110423	630672
596	110621	630560
597	110837	630549
598	111032	630421
599	111239	630355
600	111435	630231
601	111615	630013
602	111818	629931
603	112032	629905
604	112240	629846
605	112458	629843
606	112668	629791
607	112853	629603
608	113053	629500
609	113248	629363
610	113451	629272
611	113637	629093
612	113849	629053
613	114035	628868
614	114232	628740
615	114451	628742
616	114659	628676
617	114866	628604
618	115054	628430
619	115263	628369
620	115441	628141
621	115651	628086
622	115873	628097
623	116057	627899
624	116261	627810
625	116457	627681
626	116645	627505
627	116855	627447
628	117049	627301
629	117248	627188
630	117451	627090
631	117638	626910
632	117826	626731
633	118014	626554
634	118212	626430
635	118404	626277
636	118612	626206
637	118786	625957
638	118988	625852
639	119167	625631
640	119355	625454
641	119543	625274
642	119728	625085
643	119925	624952
644	120121	624816
645	120319	624693
646	120516	624563
647	120714	624434
648	120906	624277
649	121103	624147
650	121307	624050
651	121513	623967
652	121708	623826
653	121901	623672
654	122109	623599
655	122312	623494
656	122497	623304
657	122681	623103
658	122881	622985
659	123064	622782
660	123256	622620
661	123465	622550
662	123650	622355
663	123843	622200
664	124048	622106
665	124234	621916
666	124428	621771
667	124608	621548
668	124792	621349
669	124977	621154
670	125159	620945
671	125357	620819
672	125552	620675
673	125745	620518
674	125943	620386
675	126133	620216
676	126329	620076
677	126525	619936
678	126708	619732
679	126925	619696
680	127111	619505
681	127313	619392
682	127507	619242
683	127699	619082
684	127897	618950
685	128100	618843
686	128302	618729
687	128484	618516
688	128685	618399
689	128886	618279
690	129086	618156
691	129288	618043
692	129490	617931
693	129701	617856
694	129889	617675
695	130096	617585
696	130280	617382
697	130472	617223
698	130640	616944
699	130812	616685
700	131005	616528
701	131195	616358
702	131383	616174
703	131579	616031
704	131751	615776
705	131944	615617
706	132138	615462
707	132338	615335
708	132542	615230
709	132761	615188
710	132971	615111
711	133172	614988
712	133369	614846
713	133569	614718
714	133775	614619
715	133965	614446
716	134176	614367
717	134383	614270
718	134573	614096
719	134771	613959
720	134973	613837
721	135167	613680
722	135356	613504
723	135549	613340
724	135733	613142
725	135933	613010
726	136123	612836
727	136325	612715
728	136504	612492
729	136695	612319
730	136898	612204
731	137090	612039
732	137281	611865
733	137470	611688
734	137659	611508
735	137849	611333
736	138038	611152
737	138251	611079
738	138437	610885
739	138624	610697
740	138809	610498
741	139005	610351
742	139191	610155
743	139390	610022
744	139599	609928
745	139786	609737
746	139976	609564
747	140177	609435
748	140398	609395
749	140592	609232
750	140773	609019
751	140978	608905
752	141176	608766
753	141364	608578
754	141541	608346
755	141748	608242
756	141942	608084
757	142115	607833
758	142316	607706
759	142516	607568
760	142711	607414
761	142898	607226
762	143083	607027
763	143284	606897
764	143488	606776
765	143684	606627
766	143886	606498
767	144082	606348
768	144280	606201
769	144477	606055
770	144674	605908
771	144880	605797
772	145085	605679
773	145286	605547
774	145487	605415
775	145687	605277
776	145875	605090
777	146082	604985
778	146264	604772
779	146456	604603
780	146635	604376
781	146839	604257
782	147027	604072
783	147229	603942
784	147403	603698
785	147601	603549
786	147789	603364
787	147970	603149
788	148167	602996
789	148360	602831
790	148531	602576
791	148723	602404
792	148911	602216
793	149092	602001
794	149274	601791
795	149462	601606
796	149658	601450
797	149841	601245
798	150043	601114
799	150250	601000
800	150437	600812
801	150631	600649
802	150825	600484
803	151018	600318
804	151212	600152
805	151397	599955
806	151593	599799
807	151779	599604
808	151982	599475
809	152190	599366
810	152361	599112
811	152548	598922
812	152717	598661
813	152892	598421
814	153088	598266
815	153302	598179
816	153497	598019
817	153684	597829
818	153866	597617
819	154064	597471
820	154245	597253
821	154413	596991
822	154592	596768
823	154784	596596
824	154982	596446
825	155199	596371
826	155388	596187
827	155586	596039
828	155790	595914
829	155982	595740
830	156181	595592
831	156371	595416
832	156540	595156
833	156747	595039
834	156944	594885
835	157128	594683
836	157322	594517
837	157514	594343
838	157701	594153
839	157905	594025
840	158104	593879
841	158296	593704
842	158480	593504
843	158682	593369
844	158872	593186
845	159063	593009
846	159282	592935
847	159465	592730
848	159665	592587
849	159865	592442
850	160051	592246
851	160245	592080
852	160435	591900
853	160624	591713
854	160817	591544
855	161015	591393
856	161202	591202
857	161407	591076
858	161590	590867
859	161784	590701
860	161959	590465
861	162149	590285
862	162344	590122
863	162543	589972
864	162746	589838
865	162961	589746
866	163177	589661
867	163368	589480
868	163567	589333
869	163778	589227
870	163999	589156
871	164204	589026
872	164397	588855
873	164609	588753
874	164813	588619
875	165024	588511
876	165230	588387
877	165432	588245
878	165625	588075
879	165840	587978
880	166036	587818
881	166232	587655
882	166427	587491
883	166634	587366
884	166834	587218
885	167040	587094
886	167229	586906
887	167440	586795
888	167645	586665
889	167836	586485
890	168059	586416
891	168278	586332
892	168473	586166
893	168672	586015
894	168876	585879
895	169083	585754
896	169277	585583
897	169489	585474
898	169699	585359
899	169893	585187
900	170111	585101
901	170301	584916
902	170502	584770
903	170718	584673
904	170940	584597
905	171143	584456
906	171342	584301
907	171559	584210
908	171773	584104
909	171959	583905
910	172152	583731
911	172340	583540
912	172530	583354
913	172713	583144
914	172903	582958
915	173081	582731
916	173268	582538
917	173457	582347
918	173639	582136
919	173847	582012
920	174025	581784
921	174215	581598
922	174410	581430
923	174607	581269
924	174808	581120
925	174987	580898
926	175185	580739
927	175394	580614
928	175580	580418
929	175755	580182
930	175948	580006
931	176142	579832
932	176339	579669
933	176518	579448
934	176701	579242
935	176892	579059
936	177063	578810
937	177265	578662
938	177460	578493
939	177653	578318
940	177845	578139
941	178037	577958
942	178237	577808
943	178431	577633
944	178630	577477
945	178835	577338
946	179029	577166
947	179213	576960
948	179411	576802
949	179590	576581
950	179798	576452
951	179985	576256
952	180175	576071
953	180374	575912
954	180572	575751
955	180766	575577
956	180955	575390
957	181131	575160
958	181312	574942
959	181504	574764
960	181697	574588
961	181877	574369
962	182069	574189
963	182242	573950
964	182423	573736
965	182632	573609
966	182815	573402
967	183011	573233
968	183196	573032
969	183376	572813
970	183578	572665
971	183781	572521
972	183980	572364
973	184152	572120
974	184356	571978
975	184542	571780
976	184743	571626
977	184943	571470
978	185125	571261
979	185298	571022
980	185484	570823
981	185659	570590
982	185844	570390
983	186047	570243
984	186253	570106
985	186456	569958
986	186647	569774
987	186835	569582
988	187039	569440
989	187234	569267
990	187435	569116
991	187631	568947
992	187838	568813
993	188023	568609
994	188201	568387
995	188392	568202
996	188572	567987
997	188766	567812
998	188963	567647
999	189169	567507
1000	189369	567351
1001	189549	567133
1002	189742	566957
1003	189939	566791
1004	190130	566607
1005	190305	566376
1006	190500	566203
1007	190698	566042
1008	190897	565882
1009	191089	565700
1010	191274	565497
1011	191470	565331
1012	191658	565137
1013	191857	564975
1014	192067	564849
1015	192240	564612
1016	192425	564409
1017	192600	564180
1018	192792	563998
1019	192994	563846
1020	193170	563618
1021	193371	563463
1022	193555	563259
1023	193739	563055
1024	193945	562915
1025	194141	562745
1026	194345	562599
1027	194539	562424
1028	194737	562259
1029	194924	562063
1030	195118	561889
1031	195308	561700
1032	195498	561515
1033	195700	561361
1034	195882	561152
1035	196081	560988
1036	196273	560809
1037	196447	560576
1038	196623	560347
1039	196808	560147
1040	197009	559990
1041	197208	559830
1042	197392	559625
1043	197586	559449
1044	197771	559249
1045	197964	559069
1046	198156	558887
1047	198372	558773
1048	198584	558648
1049	198773	558459
1050	198966	558280
1051	199158	558098
1052	199356	557934
1053	199543	557737
1054	199752	557602
1055	199941	557414
1056	200119	557191
1057	200303	556986
1058	200482	556769
1059	200659	556546
1060	200856	556377
1061	201041	556177
1062	201241	556017
1063	201448	555875
1064	201640	555694
1065	201839	555532
1066	202012	555297
1067	202204	555116
1068	202404	554956
1069	202590	554756
1070	202784	554581
1071	202984	554421
1072	203190	554275
1073	203379	554085
1074	203570	553901
1075	203772	553746
1076	203965	553566
1077	204162	553398
1078	204356	553221
1079	204547	553036
1080	204737	552848
1081	204947	552713
1082	205127	552498
1083	205306	552281
1084	205499	552101
1085	205698	551937
1086	205889	551753
1087	206077	551561
1088	206267	551372
1089	206462	551198
1090	206667	551048
1091	206869	550894
1092	207079	550758
1093	207281	550604
1094	207483	550447
1095	207663	550233
1096	207865	550075
1097	208058	549896
1098	208268	549759
1099	208464	549588
1100	208668	549435
1101	208834	549185
1102	209031	549014
1103	209235	548863
1104	209423	548670
1105	209610	548475
1106	209800	548285
1107	210004	548135
1108	210194	547946
1109	210391	547777
1110	210584	547595
1111	210797	547466
1112	210980	547259
1113	211169	547069
1114	211359	546880
1115	211552	546698
1116	211737	546498
1117	211924	546301
1118	212132	546161
1119	212334	546003
1120	212520	545805
1121	212715	545628
1122	212912	545457
1123	213088	545234
1124	213282	545054
1125	213480	544887
1126	213664	544683
1127	213849	544481
1128	214040	544295
1129	214239	544130
1130	214434	543955
1131	214619	543752
1132	214811	543569
1133	215011	543407
1134	215182	543169
1135	215363	542957
1136	215543	542745
1137	215742	542579
1138	215932	542390
1139	216118	542192
1140	216314	542017
1141	216503	541828
1142	216679	541604
1143	216896	541482
1144	217081	541282
1145	217277	541108
1146	217467	540920
1147	217644	540698
1148	217860	540574
1149	218039	540358
1150	218228	540166
1151	218404	539945
1152	218608	539790
1153	218807	539623
1154	218999	539439
1155	219182	539234
1156	219366	539030
1157	219566	538867
1158	219767	538705
1159	219971	538551
1160	220158	538354
1161	220343	538152
1162	220521	537935
